source,username,display_name,bio,followers,following,profile_url,instance,node_type,relationship_type
Mastodon_mastodon.social,darrenrovell,Darren Rovell 🤖,"Unofficial bot that mirrors Darren Rovell’s Twitter feed.Founder of <span class=""h-card"" translate=""no""><a href=""https://twitter.com/cllctmedia"" class=""u-url"" rel=""nofollow noopener"" target=""_blank"">@",1860000,3600,https://sportsbots.xyz/users/darrenrovell,mastodon.social,person,social_profile
Mastodon_mastodon.social,mgs,M.G. Siegler,Writer turned investor turned investor who writes.,4008,109,https://me.dm/@mgs,mastodon.social,person,social_profile
Mastodon_mastodon.social,InvestorsBD,Investor's Business Daily,"Investor's Business Daily provides leading stock market news and analysis, powerful investing products and education to help investors make more money in the market.Follow to see posts from the offici",13085,10,https://flipboard.com/@InvestorsBD,mastodon.social,person,social_profile
Mastodon_mastodon.social,youngmogul,LaMarr Jones,Serial Entrepreneur | Financier | Investor @eljayceo on X,5839,51,https://flipboard.com/@youngmogul,mastodon.social,person,social_profile
Mastodon_mastodon.social,arlenedickinson,Arlene Dickinson  Entrepreneur Investor,I’m told I look a lot like that woman on TV. <br>#TeamCanada ❤️🇨🇦,134030,359,https://threads.net/@arlenedickinson/,mastodon.social,person,social_profile
Mastodon_mastodon.social,graemethickins,Graeme Thickins,"Tech marketing consultant, startup advisor, investor, mentor, coach, and writer.",7654,36,https://flipboard.com/@graemethickins,mastodon.social,person,social_profile
Mastodon_mastodon.social,mgsiegler,M.G. Siegler,"Investor. Writer. Traveler.Follow to see posts from the official <a href=""https://flipboard.com/@mgsiegler"" rel=""nofollow noopener"" target=""_blank"">M.G. Siegler</a> Flipboard profile.",14076,21,https://flipboard.com/@mgsiegler,mastodon.social,person,social_profile
Mastodon_mastodon.social,chadfowler,Chad Fowler,"Software developer, investor, musician, label owner",1371,147,https://mastodon.social/@chadfowler,mastodon.social,person,social_profile
Mastodon_mastodon.social,mkapor,Mitch Kapor,"Tech O.G., Lotus, EFF, gap-closing investor <a href=""https://en.wikipedia.org/wiki/Mitch_Kapor"" rel=""nofollow noopener"" translate=""no"" target=""_blank""><span class=""invisible"">https://</span><span clas",2667,48,https://mstdn.social/@mkapor,mastodon.social,person,social_profile
Mastodon_mastodon.social,deskinvestor,Desk Investor,"Hi, I'm Desk. I build apps, invest in assets, and love discussing AI and tech. I’m building 12 AI apps in 12 months. 💻📱 <a href=""http://AIreelity.com/"" rel=""nofollow noopener"" target=""_blank"">AIreelit",998,821,https://threads.net/@deskinvestor/,mastodon.social,person,social_profile
Mastodon_mastodon.social,champ_trader,Trader-Mentor/Analyst/Investor,⚡𝐂𝐇𝐀𝐋𝐋𝐄𝐍𝐆𝐄 to Myself<br>⚡𝐃𝐨𝐜𝐮𝐦𝐞𝐧𝐭𝐢𝐧g My Trading Journey <br>⚡On Instagram I'd :- @champ_trader<br>ʙᴇ ᴀ ᴘᴀʀᴛ ᴏꜰ ᴍʏ ᴊᴏᴜʀɴᴇʏ &amp; ᴡɪꜱʜ ᴍᴇ ʟᴜᴄᴋ ✌,17490,10,https://threads.net/@champ_trader/,mastodon.social,person,social_profile
Mastodon_mastodon.social,getalifemike,Mike Perham,"BikeLoudPDX board, small scale housing investorBusiness: <span class=""h-card"" translate=""no""><a href=""https://ruby.social/@getajobmike"" class=""u-url mention"" rel=""nofollow noopener"" target=""_blank"">@<",1463,158,https://urbanists.social/@getalifemike,mastodon.social,person,social_profile
Mastodon_mastodon.social,adam,Adam Whitcroft,Design at Owner.com · Maker of small apps · Investor in small companies · African turned Canadian.,1328,136,https://mastodon.design/@adam,mastodon.social,person,social_profile
Mastodon_mastodon.social,nur.amira.syafira,Nutritionist | Angel Investor 💎 7569,"🔥 Lose fat, not peace. Eat enough. Real food. WA ""PENAT DIET"" for 1-1 💃<br>🇲🇾 Registered MAHPC(NUTR)00875<br>🎓 BSc (Hons) Nutrition &amp; Community Health UPM",18821,323,https://threads.net/@nur.amira.syafira/,mastodon.social,person,social_profile
Mastodon_mastodon.social,davetroy,Dave Troy :toad:,"Publisher and Editor, America 2.0. Entrepreneur, investor, tech pioneer. Columnist, Washington Spectator. Speaker. Cook. Pilot.Host of <a href=""https://toad.social"" rel=""nofollow noopener"" translate=""",18853,856,https://toad.social/@davetroy,mastodon.social,person,social_profile
Mastodon_mastodon.social,esh,Eric Hammond,Startup builder.<br>Startup investor.<br>AWS enthusiast.<br>AWS Hero.<br>Disclosure: Long $AMZN<br>[searchable]<br>{he/him},1002,246,https://awscommunity.social/@esh,mastodon.social,person,social_profile
Mastodon_mastodon.social,ty,Ty Smith :verified: :verified:,"Principal Eng at Uber - Mobile, AI, FOSS, Dev Productivity &amp; Dev RelationsAdvisor, Investor, Founder, Public Speaker, FOSS Foundations",1589,447,https://androiddev.social/@ty,mastodon.social,person,social_profile
