source,username,name,bio,company,location,followers,following,public_repos,profile_url,node_type,relationship_type
GitHub,umbros,Umberto Rosini,Head of ICT Unit @ CDP Venture Capital Sgr,CDP Venture Capital Sgr,Rome,326,0,5,https://github.com/umbros,person,developer
GitHub,RunaCapital,Runa Capital,Global venture capital firm,,Luxembourg,138,0,4,https://github.com/RunaCapital,person,developer
GitHub,iakhilteja,Akhil Teja,Head of AI at Pivot - Web 3.0 Venture Capital and Accelerators,@0xPivot,Dubai,85,12,23,https://github.com/iakhilteja,person,developer
GitHub,mlemos,Manoel Lemos,Venture capital investor during the day. Former entrepreneur and engineer still loving to code and make things at night. ;-),,San Francisco Bay Area,81,3,18,https://github.com/mlemos,person,developer
GitHub,jgosier,Jon Gosier,Data/Marketing Science + Venture Capital. Founder of Audigent,PandemicRT,"Atlanta, GA",56,46,16,https://github.com/jgosier,person,developer
GitHub,librae8226,Librae,"Software Engineer for the last decade,
Venture Capital Investor for the next.
Wechat/Phone: 2D8afF7hP3txUcy8ir912 (Base58)",,Shanghai,51,17,63,https://github.com/librae8226,person,developer
GitHub,vlux,Xuanwu,"Pre: Baiont Capital & Sinovation Ventures. 
HKUST CSE Ph.D.",Gnano,Utopia,50,127,56,https://github.com/vlux,person,developer
GitHub,eOlawale,Co-Founder : foodcentral_ai and Marketplace on Motion,"FoodCentral Marketplace is a serial venture capital and software company supporting global entrepreneurs and unicorns

https://foodnation247.vercel.app
",Marketplace on Motion,"Boston, MA,USA",41,102,30,https://github.com/eOlawale,person,developer
GitHub,hebowei2000,Bowei He,"CS Ph.D. student in CityU, Advanced AutoML,  RL, and recommender system. Tech Venture Capital investor.",City University Of Hong Kong,Hong Kong,36,128,72,https://github.com/hebowei2000,person,developer
GitHub,Obuz,Octav Buzoianu,"Energy transition & climate technology
Venture Capital 
",Launchpad,"London, UK",24,265,9,https://github.com/Obuz,person,developer
GitHub,otaviofff,Otavio Ferreira,"Software engineering professional, startup advisor, and venture capital investor.",Amazon Web Services,"Vancouver, Canada",20,2,6,https://github.com/otaviofff,person,developer
GitHub,laplacian-k,James Park,"Big data analyst & engineer.
I'm interested in venture capital, hedge fund and tech startup industries.
",@seoulai @laplacetec,"Seoul, South of Korea",19,15,3,https://github.com/laplacian-k,person,developer
GitHub,VCpreneur,Ahmad Takatkah,"Data science, venture capital, and crypto!",,"Mountain View, CA",18,36,10,https://github.com/VCpreneur,person,developer
GitHub,Artarda19,Arda,"Community moderator, Capital Ventures investor",Ruesandora0 community,,17,26,9,https://github.com/Artarda19,person,developer
GitHub,diegonmarcos,Diego Nepomuceno Marcos,"Product and Software Engineering student |
Venture Capital and Portfolio Manager Analyst | Civil Engineer B.Sc. | BERlin.de",42@Berlin,Berlin/DE,17,31,13,https://github.com/diegonmarcos,person,developer
GitHub,Neufund,Neufund,Bridging the worlds of blockchain and venture capital,,"Berlin, Germany",15,0,62,https://github.com/Neufund,person,developer
GitHub,jrolf,James A. Rolfsen,"Data Science, Machine Learning, and Venture Capital",Think.dev,"Palo Alto, CA",14,48,41,https://github.com/jrolf,person,developer
GitHub,LGSKOKO,LiGenSheng,A teenager who plans to earn venture capital by becoming a coder.,107,HENAN UNIVERSITY,14,21,11,https://github.com/LGSKOKO,person,developer
GitHub,Angel-builds,Angel  Sarpong Antwi-Mensah,"CS @ GSU, building and learning, ML @Chambers-Capital-Ventures-Inc, @ColorStack-Grambling , RTC, Code2040

",@Chambers-Capital-Ventures-Inc ,"Grambling,LA",14,12,10,https://github.com/Angel-builds,person,developer
GitHub,cmfoil,Cheryl Foil,"Working on a new project.

Previously ran a venture capital firm at Kiddar Capital, CTO of 2 NLP startups, vp engi/lead engineer at others.",,SF Bay Area,12,4,2,https://github.com/cmfoil,person,developer
GitHub,adeel06,AdamAn,"venture capital
trading
AI
JustAGuy = JAG! 🗡️ ",HVME,New York,11,7,41,https://github.com/adeel06,person,developer
GitHub,lisun85,lisun85,"Director | MIT | Artificial Intelligence | Blockchain | Venture Capital |
Chicago | New York | Boston",,"Chicago, IL",10,10,37,https://github.com/lisun85,person,developer
GitHub,dotben,Ben Metcalfe,"VC | unicorn startup founder | father

hacker > software engineer > product manager > marketer > public policy nerd > venture capital investor",Monochrome Capital,"San Francisco, CA",10,1,8,https://github.com/dotben,person,developer
GitHub,headlinevc,Headline,A global venture capital firm that codes,,San Francisco,9,0,16,https://github.com/headlinevc,person,developer
GitHub,goelmayank,Mathuranath Das,"Youth Mentor at HKM Mumbai | HSBC | BITS Pilani
Experienced Software Engineer with a demonstrated history of working in the venture capital and travel industry",Hare Krishna Movement,Mumbai,9,14,148,https://github.com/goelmayank,person,developer
GitHub,heetermaria,Maria Heeter,"Venture capital reporter @ The Information. I focus on late-stage startups, IPOs and crossover funds. Used to cover real estate @ Bloomberg.",,mdheeter@gmail.com,9,20,6,https://github.com/heetermaria,person,developer
GitHub,SauJyu0225,Irene,"Venture Capital-XR, 3D AIGC & Programming.
",AIOT Capital,"Shanghai, China",8,11,6,https://github.com/SauJyu0225,person,developer
GitHub,seanevanlee,Sean Lee,"Full-stack software engineer with extensive backgrounds in FAANG, tech startups, venture capital. ",,"Orange County, CA",8,7,27,https://github.com/seanevanlee,person,developer
GitHub,oluwakemiegbinola,Oluwakemi,"A technology analyst's & biz consultant; over 10 years of corporate, start-up and venture capital experience in Total, Internet of Things, SaaS, Infrastructure",,,8,2,58,https://github.com/oluwakemiegbinola,person,developer
GitHub,Edzandpieces,Edmund Oh,"Australian born, now living in Tokyo. Worked in venture capital and sales in countries like South Korea. Now looking to grow in a Product Manager role.",,"Tokyo, Japan",8,6,15,https://github.com/Edzandpieces,person,developer
GitHub,daimajia,代码家,Coder | Investor | Tech Enthusiast,,"Beijing, China",24923,273,92,https://github.com/daimajia,person,developer
GitHub,holman,Zach Holman,"Angel investor. Director of Technology at @americanoutlaws.
Previously: @github @GitLab.",@americanoutlaws ,San Francisco,6502,83,57,https://github.com/holman,person,developer
GitHub,yurishkuro,Yuri Shkuro,Software engineer; Angel investor & advisor. Creator of Jaeger (@jaegertracing). Author of “Mastering Distributed Tracing”. Co-founder of @open-telemetry.,,New York,1211,3,52,https://github.com/yurishkuro,person,developer
GitHub,todsac,Tod Sacerdoti,"Founder, Pipedream. Also father, investor & lifelong learner.","Pipedream, Inc.","San Francisco, CA",1124,0,17,https://github.com/todsac,person,developer
GitHub,joeyajames,Joe James,"MSCS, MBA, resident of Silicon Valley, investor, biking & trail running enthusiast.",,"Fremont, California",1056,3,15,https://github.com/joeyajames,person,developer
GitHub,adrianco,Adrian Cockcroft,"Technology and strategy advisor, investor, board member. Ex Amazon, Netflix, Battery Ventures, eBay, Sun, CCL",Retired,"Salinas, CA",1042,15,44,https://github.com/adrianco,person,developer
GitHub,cleanunicorn,Daniel Luca,"Investor, Ethereum Developer, Security Auditor, Tech Partner @EdenBlockVC 
",Ethereum,"Bucharest, Romania",541,301,133,https://github.com/cleanunicorn,person,developer
GitHub,femtotrader,FemtoTrader,"Geek (or nerd?), physics/electrical engineering teacher in higher education and amateur trader (trying to become a much more advised investor ;-)",,France,529,488,357,https://github.com/femtotrader,person,developer
GitHub,jdwittenauer,John Wittenauer,"Data scientist, engineer, author, investor, entrepreneur",,United States,501,27,19,https://github.com/jdwittenauer,person,developer
GitHub,biodranik,Alexander Borsuk,"Cofounder at privacy-focused, offline @OrganicMaps, creator of MAPS.ME app, founding investor at prescriptive diagnostics for industrial equipment @VibroBox",@OrganicMaps,"Zürich, Switzerland",493,3,79,https://github.com/biodranik,person,developer
GitHub,ctlllll,Tianle Cai,"ML PhD @Princeton. Life-long learner, hacker, and builder. Tech consultant & angel investor.
Take a look at my recent research @FasterDecoding !",@Princeton,Earth,491,339,31,https://github.com/ctlllll,person,developer
GitHub,AleksandrKorCod,Aleksandr,"Star my repo, I'll star yours. IT, Crypto Enthusiast, Investor",,,478,598,2,https://github.com/AleksandrKorCod,person,developer
GitHub,joeblau,Joe Blau,Founder & Investor,Bloxwap,"San Francisco, CA",473,122,141,https://github.com/joeblau,person,developer
GitHub,johnsonr,Rod Johnson,"Creator, Embabel, Spring Framework. Founder/CEO SpringSource (acquired by VMware). Developer/Author/Investor/Entrepreneur",Embabel,,464,1,32,https://github.com/johnsonr,person,developer
GitHub,ramitsurana,Ramit Surana,"Product Development Lead. BITS Pilani. CKA + Hashicorp Terraform Associate + AWS SA + Google TensorFlow Developer Certified. Angel Investor.
",MinfyTech,India,422,244,314,https://github.com/ramitsurana,person,developer
GitHub,nehanarkhede,Neha Narkhede,"Co-founder Confluent, Co-creator Apache Kafka. Angel investor and Advisor.",@confluentinc,"Palo Alto, California",377,6,10,https://github.com/nehanarkhede,person,developer
GitHub,ivanfioravanti,Ivan Fioravanti,"Technology Advisor, Founder & Board Member @CoreViewInc, Investor, AI addicted, MongoDB, Elastic, Azure, Kubernetes, OpenAI, Microsoft 365",CoreView,Italy,368,100,124,https://github.com/ivanfioravanti,person,developer
GitHub,SkyperTHC,skyper,"Hacker, Inventor, Anarchist, Investor.",,,347,1,27,https://github.com/SkyperTHC,person,developer
GitHub,LiamRandall,Liam Randall,"Entrepreneur, Investor, Developer - Cosmonic/wasmCloud, Stacklet/Cloud Custodian, Kubernetes/Critical Stack, OS Query/Kolide, Bro|Zeek",@cosmonic ,"Washington, DC",334,173,44,https://github.com/LiamRandall,person,developer
GitHub,dcurtis,dustin curtis,Designer. Investor. Nomad. ,dcurtis,,330,21,35,https://github.com/dcurtis,person,developer
GitHub,tschm,Thomas Schmelzer,"Quant, Rhodes scholar, mathematician, coder, cyclist and angel investor living the Arabian dream. Visiting Scholar at Stanford with @stephenpboyd in 2023",Stanford & ex-(Team Q @ ADIA),"Palo Alto & Abu Dhabi, United Arab Emirates",328,149,67,https://github.com/tschm,person,developer
GitHub,abresler,Alex Bresler,"R evangelist, data-hunter, seed investor, Angus MacGyver-ist",ASBC LLC,New York,321,283,215,https://github.com/abresler,person,developer
GitHub,manovotny,Michael Novotny,"Software developer, stock investor/trader, coffee enthusiast. Currently working on docs at Clerk.",@clerk,"Des Moines, IA",319,0,74,https://github.com/manovotny,person,developer
GitHub,pranitbauva1997,Pranit Bauva,Engineer  & Investor,,"Mumbai, India",318,411,29,https://github.com/pranitbauva1997,person,developer
GitHub,dustinwhittle,Dustin Whittle,Internet Adventurer: Traveler. Pilot. Sailor. Diver. Paraglider. Investor. Engineer. Operator.,@dustinwhittle,"San Francisco, California, USA",316,355,1,https://github.com/dustinwhittle,person,developer
GitHub,viezel,Mads Møller Schrøder,Product Leader | Tech Nerd | Entrepreneur | Investor,,"Copenhagen, Denmark",305,14,101,https://github.com/viezel,person,developer
GitHub,LFSCamargo,Luiz Fernando Sousa Camargo,"Entrepeneur, Investor and Webmaster",,Florianopolis,301,372,110,https://github.com/LFSCamargo,person,developer
GitHub,ryw,Ry Walker,"Coder | Founder | Investor | OSS
",Tembo,"Cincinnati, Ohio",274,386,10,https://github.com/ryw,person,developer
GitHub,DanielBoya,Daniel Boyarski,investor,,Ukraine,273,308,189,https://github.com/DanielBoya,person,developer
GitHub,pkarw,Piotr Karwatka,"CatchTheTornado co-founder, TypeScript enthusiast, angel investor",@CatchTheTornado,Wroclaw,273,27,2,https://github.com/pkarw,person,developer
GitHub,shradha-khapra,Shradha Khapra,"Co-Founder, Apna College | Ex-SDE Microsoft | Ex-DRDO | Google SPS’20",,"New Delhi,India",11118,1,15,https://github.com/shradha-khapra,person,developer
GitHub,chriscoyier,Chris Coyier,"I’m the co-founder of CodePen, a social development environment for web designers and developers. CodePen is a front-end focused IDE in the browser.",@codepen,"Bend, Oregon",10954,290,58,https://github.com/chriscoyier,person,developer
GitHub,mcollina,Matteo Collina,"@platformatic Co-Founder & CTO, TSC member @nodejs, Lead Maintainer @fastify, Conference Speaker, Ph.D.",@platformatic,"Forlì, Italy",10738,472,619,https://github.com/mcollina,person,developer
GitHub,aneagoie,Andrei Neagoie,Senior Software Dev turned Instructor. Founder of zerotomastery.io,,"Toronto, Canada",10669,1,147,https://github.com/aneagoie,person,developer
GitHub,campusx-official,CampusX,Data Science Educator | Youtuber | Machine Learning Enthusiast | Founder @CampusX,CampusX,"Gurgaon, India",10647,0,220,https://github.com/campusx-official,person,developer
GitHub,alyssaxuu,Alyssa X,"Designer, developer, & entrepreneur. Founder of Screenity + other ventures. Best woman maker of 2018 (Maker Mag) & nominated as Maker of The Year (Product Hunt)",,"London, UK",9688,1,16,https://github.com/alyssaxuu,person,developer
